latitude,longitude,resolution
52.27,4.7495,40x40_lowdensityareas
52.2635,4.7620000000000005,40x40_lowdensityareas
52.2635,4.7745,40x40_lowdensityareas
52.27,4.7620000000000005,40x40_lowdensityareas
52.233,4.6865,40x40_lowdensityareas
52.233,4.6995000000000005,40x40_lowdensityareas
52.239,4.6865,40x40_lowdensityareas
52.239,4.6995000000000005,40x40_lowdensityareas
52.245,4.712,40x40_lowdensityareas
52.245,4.7245,40x40_lowdensityareas
52.251,4.712,40x40_lowdensityareas
52.251,4.7245,40x40_lowdensityareas
52.251,4.737,40x40_lowdensityareas
52.251,4.7495,40x40_lowdensityareas
52.251,4.7620000000000005,40x40_lowdensityareas
52.257,4.7245,40x40_lowdensityareas
52.257,4.737,40x40_lowdensityareas
52.257,4.7495,40x40_lowdensityareas
52.257,4.7620000000000005,40x40_lowdensityareas
52.257,4.7745,40x40_lowdensityareas
52.2635,4.737,40x40_lowdensityareas
52.2635,4.7495,40x40_lowdensityareas
52.2635,4.7875,40x40_lowdensityareas
52.27,4.8,40x40_lowdensityareas
52.276,4.8,40x40_lowdensityareas
52.282,4.8,40x40_lowdensityareas
52.282,4.8125,40x40_lowdensityareas
52.288,4.8125,40x40_lowdensityareas
52.27,4.7745,40x40_lowdensityareas
52.27,4.7875,40x40_lowdensityareas
52.276,4.7745,40x40_lowdensityareas
52.276,4.7875,40x40_lowdensityareas
52.282,4.7875,40x40_lowdensityareas
52.288,4.8,40x40_lowdensityareas
52.294,4.8,40x40_lowdensityareas
52.294,4.8125,40x40_lowdensityareas
52.3,4.8,40x40_lowdensityareas
52.3,4.8125,40x40_lowdensityareas
52.306,4.8375,40x40_lowdensityareas
52.312,4.825,40x40_lowdensityareas
52.312,4.8375,40x40_lowdensityareas
52.318,4.825,40x40_lowdensityareas
52.318,4.8375,40x40_lowdensityareas
52.318,4.85,40x40_lowdensityareas
52.324,4.825,40x40_lowdensityareas
52.324,4.8375,40x40_lowdensityareas
52.324,4.85,40x40_lowdensityareas
52.33,4.85,40x40_lowdensityareas
52.306,4.8755,40x40_lowdensityareas
52.3,4.8755,40x40_lowdensityareas
52.282,4.8375,40x40_lowdensityareas
52.288,4.8375,40x40_lowdensityareas
52.3,4.888,40x40_lowdensityareas
52.306,4.888,40x40_lowdensityareas
52.306,4.9005,40x40_lowdensityareas
52.312,4.888,40x40_lowdensityareas
52.312,4.9005,40x40_lowdensityareas
52.318,4.888,40x40_lowdensityareas
52.318,4.9005,40x40_lowdensityareas
52.306,4.8625,40x40_lowdensityareas
52.312,4.8625,40x40_lowdensityareas
52.288,4.8625,40x40_lowdensityareas
52.294,4.8755,40x40_lowdensityareas
52.288,4.85,40x40_lowdensityareas
52.294,4.8625,40x40_lowdensityareas
52.294,4.85,40x40_lowdensityareas
52.3,4.8625,40x40_lowdensityareas
52.318,4.8755,40x40_lowdensityareas
52.276,4.8625,40x40_lowdensityareas
52.257,4.8125,40x40_lowdensityareas
52.257,4.825,40x40_lowdensityareas
52.257,4.8375,40x40_lowdensityareas
52.2635,4.8,40x40_lowdensityareas
52.2635,4.8125,40x40_lowdensityareas
52.2635,4.825,40x40_lowdensityareas
52.27,4.8125,40x40_lowdensityareas
52.27,4.825,40x40_lowdensityareas
52.282,4.9635,40x40_lowdensityareas
52.288,4.9505,40x40_lowdensityareas
52.288,4.9635,40x40_lowdensityareas
52.402,4.913,40x40_lowdensityareas
52.408,4.913,40x40_lowdensityareas
52.324,4.9505,40x40_lowdensityareas
52.324,4.938000000000001,40x40_lowdensityareas
52.318,4.976,40x40_lowdensityareas
52.324,4.976,40x40_lowdensityareas
52.324,4.9885,40x40_lowdensityareas
52.33,4.976,40x40_lowdensityareas
52.318,4.9635,40x40_lowdensityareas
52.324,4.9635,40x40_lowdensityareas
52.318,4.9885,40x40_lowdensityareas
52.312,4.976,40x40_lowdensityareas
52.396,4.938000000000001,40x40_lowdensityareas
52.324,4.888,40x40_lowdensityareas
52.324,4.8755,40x40_lowdensityareas
52.378,4.8375,40x40_lowdensityareas
52.354,4.7875,40x40_lowdensityareas
52.306,5.0135,40x40_lowdensityareas
52.312,5.0009999999999994,40x40_lowdensityareas
52.312,5.0135,40x40_lowdensityareas
52.318,5.0135,40x40_lowdensityareas
52.402,4.9254999999999995,40x40_lowdensityareas
52.378,4.8755,40x40_lowdensityareas
52.3,4.9885,40x40_lowdensityareas
52.294,4.9885,40x40_lowdensityareas
52.294,5.0009999999999994,40x40_lowdensityareas
52.378,4.8,40x40_lowdensityareas
52.384,4.8,40x40_lowdensityareas
52.384,4.888,40x40_lowdensityareas
52.294,4.976,40x40_lowdensityareas
52.396,4.888,40x40_lowdensityareas
52.354,5.0135,40x40_lowdensityareas
52.36,4.9885,40x40_lowdensityareas
52.36,4.9505,40x40_lowdensityareas
52.366,4.9505,40x40_lowdensityareas
52.36,4.938000000000001,40x40_lowdensityareas
52.414,4.9005,40x40_lowdensityareas
52.414,4.913,40x40_lowdensityareas
52.42,4.9005,40x40_lowdensityareas
52.384,4.85,40x40_lowdensityareas
52.366,4.7875,40x40_lowdensityareas
52.372,4.7620000000000005,40x40_lowdensityareas
52.372,4.7745,40x40_lowdensityareas
52.372,4.7875,40x40_lowdensityareas
52.378,4.7620000000000005,40x40_lowdensityareas
52.348,4.7875,40x40_lowdensityareas
52.354,4.7745,40x40_lowdensityareas
52.354,4.938000000000001,40x40_lowdensityareas
52.354,4.9505,40x40_lowdensityareas
52.306,4.976,40x40_lowdensityareas
52.396,4.9005,40x40_lowdensityareas
52.384,4.9005,40x40_lowdensityareas
52.39,4.9005,40x40_lowdensityareas
52.324,4.9005,40x40_lowdensityareas
52.33,4.9005,40x40_lowdensityareas
52.33,4.913,40x40_lowdensityareas
52.336,4.913,40x40_lowdensityareas
52.372,4.9505,40x40_lowdensityareas
52.378,4.9254999999999995,40x40_lowdensityareas
52.372,4.9254999999999995,40x40_lowdensityareas
52.42,4.888,40x40_lowdensityareas
52.42,4.8625,40x40_lowdensityareas
52.426,4.8625,40x40_lowdensityareas
52.426,4.8755,40x40_lowdensityareas
52.354,4.8,40x40_lowdensityareas
52.354,4.8125,40x40_lowdensityareas
52.36,4.8,40x40_lowdensityareas
52.366,4.8375,40x40_lowdensityareas
52.36,4.8375,40x40_lowdensityareas
52.366,4.85,40x40_lowdensityareas
52.372,4.8375,40x40_lowdensityareas
52.342,4.8755,40x40_lowdensityareas
52.342,4.913,40x40_lowdensityareas
52.348,4.8,40x40_lowdensityareas
52.336,4.8,40x40_lowdensityareas
52.342,4.8,40x40_lowdensityareas
52.348,4.8125,40x40_lowdensityareas
52.342,4.8125,40x40_lowdensityareas
52.342,4.825,40x40_lowdensityareas
52.384,4.825,40x40_lowdensityareas
52.384,4.8375,40x40_lowdensityareas
52.384,4.8125,40x40_lowdensityareas
52.36,4.8125,40x40_lowdensityareas
52.366,4.8125,40x40_lowdensityareas
52.372,4.8125,40x40_lowdensityareas
52.378,4.8125,40x40_lowdensityareas
52.372,4.825,40x40_lowdensityareas
52.378,4.825,40x40_lowdensityareas
52.36,4.825,40x40_lowdensityareas
52.366,4.825,40x40_lowdensityareas
52.354,4.825,40x40_lowdensityareas
52.348,4.825,40x40_lowdensityareas
52.39,4.8755,40x40_lowdensityareas
52.39,4.888,40x40_lowdensityareas
52.402,4.9005,40x40_lowdensityareas
52.414,4.888,40x40_lowdensityareas
52.372,5.0135,40x40_lowdensityareas
52.378,4.976,40x40_lowdensityareas
52.378,4.9885,40x40_lowdensityareas
52.378,5.0009999999999994,40x40_lowdensityareas
52.384,4.9635,40x40_lowdensityareas
52.384,4.9885,40x40_lowdensityareas
52.384,5.0009999999999994,40x40_lowdensityareas
52.39,4.9885,40x40_lowdensityareas
52.39,5.0009999999999994,40x40_lowdensityareas
52.39,5.0135,40x40_lowdensityareas
52.396,4.9885,40x40_lowdensityareas
52.396,5.0009999999999994,40x40_lowdensityareas
52.396,5.0135,40x40_lowdensityareas
52.396,5.026,40x40_lowdensityareas
52.402,4.9635,40x40_lowdensityareas
52.402,4.976,40x40_lowdensityareas
52.402,4.9885,40x40_lowdensityareas
52.402,5.0009999999999994,40x40_lowdensityareas
52.402,5.0135,40x40_lowdensityareas
52.402,5.026,40x40_lowdensityareas
52.408,4.9505,40x40_lowdensityareas
52.408,4.9635,40x40_lowdensityareas
52.408,4.976,40x40_lowdensityareas
52.408,4.9885,40x40_lowdensityareas
52.408,5.0009999999999994,40x40_lowdensityareas
52.408,5.0135,40x40_lowdensityareas
52.408,5.026,40x40_lowdensityareas
52.408,5.0385,40x40_lowdensityareas
52.414,4.9505,40x40_lowdensityareas
52.414,4.9635,40x40_lowdensityareas
52.414,4.976,40x40_lowdensityareas
52.414,4.9885,40x40_lowdensityareas
52.414,5.0009999999999994,40x40_lowdensityareas
52.414,5.0135,40x40_lowdensityareas
52.414,5.026,40x40_lowdensityareas
52.414,5.0385,40x40_lowdensityareas
52.414,5.0515,40x40_lowdensityareas
52.414,5.064,40x40_lowdensityareas
52.42,4.9505,40x40_lowdensityareas
52.42,4.9635,40x40_lowdensityareas
52.42,4.976,40x40_lowdensityareas
52.42,4.9885,40x40_lowdensityareas
52.42,5.0009999999999994,40x40_lowdensityareas
52.42,5.0135,40x40_lowdensityareas
52.42,5.026,40x40_lowdensityareas
52.396,4.9505,40x40_lowdensityareas
52.36,4.85,40x40_lowdensityareas
52.342,4.8375,40x40_lowdensityareas
52.348,4.8375,40x40_lowdensityareas
52.354,4.8375,40x40_lowdensityareas
52.342,4.9635,40x40_lowdensityareas
52.348,4.976,40x40_lowdensityareas
52.33,4.9505,40x40_lowdensityareas
52.336,4.9505,40x40_lowdensityareas
52.336,4.9635,40x40_lowdensityareas
52.33,4.9635,40x40_lowdensityareas
52.378,4.649,40x40_lowdensityareas
52.378,4.6115,40x40_lowdensityareas
52.384,4.6115,40x40_lowdensityareas
52.39,4.6240000000000006,40x40_lowdensityareas
52.36,4.649,40x40_lowdensityareas
52.372,4.6240000000000006,40x40_lowdensityareas
52.372,4.6365,40x40_lowdensityareas
52.366,4.6115,40x40_lowdensityareas
52.396,4.649,40x40_lowdensityareas
52.402,4.649,40x40_lowdensityareas
52.36,4.6615,40x40_lowdensityareas
52.354,4.649,40x40_lowdensityareas
52.378,4.6615,40x40_lowdensityareas
52.378,4.6739999999999995,40x40_lowdensityareas
52.372,4.649,40x40_lowdensityareas
52.408,4.649,40x40_lowdensityareas
52.408,4.6365,40x40_lowdensityareas
52.402,4.6365,40x40_lowdensityareas
52.396,4.6240000000000006,40x40_lowdensityareas
52.396,4.6365,40x40_lowdensityareas
52.39,4.649,40x40_lowdensityareas
52.42,4.649,40x40_lowdensityareas
52.426,4.649,40x40_lowdensityareas
52.426,4.6615,40x40_lowdensityareas
52.384,4.649,40x40_lowdensityareas
52.384,4.6615,40x40_lowdensityareas
52.39,4.6615,40x40_lowdensityareas
52.396,4.6615,40x40_lowdensityareas
52.402,4.6615,40x40_lowdensityareas
52.384,4.6240000000000006,40x40_lowdensityareas
52.378,4.6240000000000006,40x40_lowdensityareas
52.336,4.7745,40x40_lowdensityareas
52.342,4.7620000000000005,40x40_lowdensityareas
52.342,4.7745,40x40_lowdensityareas
52.318,4.8125,40x40_lowdensityareas
52.324,4.8125,40x40_lowdensityareas
52.33,4.8,40x40_lowdensityareas
52.342,4.7875,40x40_lowdensityareas
52.348,4.7745,40x40_lowdensityareas
52.324,4.7495,40x40_lowdensityareas
52.324,4.7620000000000005,40x40_lowdensityareas
52.33,4.7495,40x40_lowdensityareas
52.33,4.7620000000000005,40x40_lowdensityareas
52.33,4.7745,40x40_lowdensityareas
52.33,4.7875,40x40_lowdensityareas
52.336,4.7620000000000005,40x40_lowdensityareas
52.336,4.7875,40x40_lowdensityareas
52.312,4.6739999999999995,40x40_lowdensityareas
52.318,4.6739999999999995,40x40_lowdensityareas
52.3,4.6365,40x40_lowdensityareas
52.306,4.6365,40x40_lowdensityareas
52.306,4.649,40x40_lowdensityareas
52.306,4.6240000000000006,40x40_lowdensityareas
52.312,4.6365,40x40_lowdensityareas
52.318,4.649,40x40_lowdensityareas
52.324,4.649,40x40_lowdensityareas
52.27,4.6995000000000005,40x40_lowdensityareas
52.276,4.6865,40x40_lowdensityareas
52.276,4.6995000000000005,40x40_lowdensityareas
52.282,4.6865,40x40_lowdensityareas
52.282,4.6995000000000005,40x40_lowdensityareas
52.282,4.712,40x40_lowdensityareas
52.288,4.6865,40x40_lowdensityareas
52.288,4.6995000000000005,40x40_lowdensityareas
52.288,4.712,40x40_lowdensityareas
52.288,4.7245,40x40_lowdensityareas
52.294,4.6865,40x40_lowdensityareas
52.294,4.6995000000000005,40x40_lowdensityareas
52.294,4.712,40x40_lowdensityareas
52.3,4.6865,40x40_lowdensityareas
52.312,4.6865,40x40_lowdensityareas
52.312,4.6995000000000005,40x40_lowdensityareas
52.306,4.6995000000000005,40x40_lowdensityareas
52.306,4.712,40x40_lowdensityareas
52.3,4.6615,40x40_lowdensityareas
52.306,4.6615,40x40_lowdensityareas
52.288,4.6615,40x40_lowdensityareas
52.294,4.649,40x40_lowdensityareas
52.3,4.649,40x40_lowdensityareas
52.306,4.6739999999999995,40x40_lowdensityareas
52.306,4.6865,40x40_lowdensityareas
52.2635,4.6115,40x40_lowdensityareas
52.27,4.6115,40x40_lowdensityareas
52.276,4.6115,40x40_lowdensityareas
52.233,4.6240000000000006,40x40_lowdensityareas
52.233,4.6365,40x40_lowdensityareas
52.239,4.6240000000000006,40x40_lowdensityareas
52.239,4.6365,40x40_lowdensityareas
52.239,4.649,40x40_lowdensityareas
52.245,4.6115,40x40_lowdensityareas
52.245,4.6240000000000006,40x40_lowdensityareas
52.245,4.6365,40x40_lowdensityareas
52.245,4.649,40x40_lowdensityareas
52.245,4.6615,40x40_lowdensityareas
52.251,4.5985,40x40_lowdensityareas
52.251,4.6115,40x40_lowdensityareas
52.251,4.6240000000000006,40x40_lowdensityareas
52.251,4.6365,40x40_lowdensityareas
52.251,4.649,40x40_lowdensityareas
52.251,4.6615,40x40_lowdensityareas
52.257,4.5985,40x40_lowdensityareas
52.257,4.6115,40x40_lowdensityareas
52.257,4.649,40x40_lowdensityareas
52.257,4.6615,40x40_lowdensityareas
52.257,4.6739999999999995,40x40_lowdensityareas
52.2635,4.5985,40x40_lowdensityareas
52.2635,4.6365,40x40_lowdensityareas
52.2635,4.649,40x40_lowdensityareas
52.2635,4.6615,40x40_lowdensityareas
52.2635,4.6739999999999995,40x40_lowdensityareas
52.2635,4.6865,40x40_lowdensityareas
52.27,4.5985,40x40_lowdensityareas
52.27,4.6365,40x40_lowdensityareas
52.27,4.649,40x40_lowdensityareas
52.27,4.6615,40x40_lowdensityareas
52.27,4.6739999999999995,40x40_lowdensityareas
52.27,4.6865,40x40_lowdensityareas
52.276,4.5985,40x40_lowdensityareas
52.276,4.6365,40x40_lowdensityareas
52.276,4.649,40x40_lowdensityareas
52.276,4.6615,40x40_lowdensityareas
52.276,4.6739999999999995,40x40_lowdensityareas
52.282,4.6115,40x40_lowdensityareas
52.282,4.6365,40x40_lowdensityareas
52.282,4.649,40x40_lowdensityareas
52.282,4.6615,40x40_lowdensityareas
52.288,4.6115,40x40_lowdensityareas
52.288,4.6240000000000006,40x40_lowdensityareas
52.288,4.6365,40x40_lowdensityareas
52.288,4.649,40x40_lowdensityareas
52.294,4.6240000000000006,40x40_lowdensityareas
52.294,4.6365,40x40_lowdensityareas
52.257,4.6365,40x40_lowdensityareas
52.2635,4.6240000000000006,40x40_lowdensityareas
52.27,4.6240000000000006,40x40_lowdensityareas
52.257,4.6240000000000006,40x40_lowdensityareas
52.378,4.7495,40x40_lowdensityareas
52.384,4.7495,40x40_lowdensityareas
52.336,4.6739999999999995,40x40_lowdensityareas
52.342,4.6615,40x40_lowdensityareas
52.342,4.6739999999999995,40x40_lowdensityareas
52.342,4.6995000000000005,40x40_lowdensityareas
52.348,4.6739999999999995,40x40_lowdensityareas
52.348,4.6865,40x40_lowdensityareas
52.348,4.6995000000000005,40x40_lowdensityareas
52.354,4.6865,40x40_lowdensityareas
52.354,4.6995000000000005,40x40_lowdensityareas
52.36,4.6865,40x40_lowdensityareas
52.36,4.6995000000000005,40x40_lowdensityareas
52.366,4.6739999999999995,40x40_lowdensityareas
52.366,4.6865,40x40_lowdensityareas
52.366,4.6995000000000005,40x40_lowdensityareas
52.372,4.6995000000000005,40x40_lowdensityareas
52.378,4.6995000000000005,40x40_lowdensityareas
52.348,4.6240000000000006,40x40_lowdensityareas
52.36,4.6240000000000006,40x40_lowdensityareas
52.36,4.6365,40x40_lowdensityareas
52.336,4.6240000000000006,40x40_lowdensityareas
52.342,4.6240000000000006,40x40_lowdensityareas
52.342,4.6365,40x40_lowdensityareas
52.348,4.6365,40x40_lowdensityareas
52.336,4.6115,40x40_lowdensityareas
52.342,4.5985,40x40_lowdensityareas
52.342,4.6115,40x40_lowdensityareas
52.348,4.6115,40x40_lowdensityareas
52.354,4.6115,40x40_lowdensityareas
52.36,4.6115,40x40_lowdensityareas
52.348,4.5985,40x40_lowdensityareas
52.282,4.9254999999999995,40x40_lowdensityareas
52.282,4.938000000000001,40x40_lowdensityareas
52.282,4.9505,40x40_lowdensityareas
52.288,4.9254999999999995,40x40_lowdensityareas
52.288,4.938000000000001,40x40_lowdensityareas
52.294,4.9254999999999995,40x40_lowdensityareas
52.294,4.938000000000001,40x40_lowdensityareas
52.3,4.9254999999999995,40x40_lowdensityareas
52.306,4.913,40x40_lowdensityareas
52.306,4.9254999999999995,40x40_lowdensityareas
52.312,4.913,40x40_lowdensityareas
52.312,4.9254999999999995,40x40_lowdensityareas
52.318,4.913,40x40_lowdensityareas
52.318,4.9254999999999995,40x40_lowdensityareas
52.318,4.938000000000001,40x40_lowdensityareas
52.324,4.913,40x40_lowdensityareas
52.33,4.938000000000001,40x40_lowdensityareas
52.245,4.825,40x40_lowdensityareas
52.245,4.8375,40x40_lowdensityareas
52.251,4.825,40x40_lowdensityareas
52.245,4.8125,40x40_lowdensityareas
52.251,4.8125,40x40_lowdensityareas
52.239,4.825,40x40_lowdensityareas
52.312,5.026,40x40_lowdensityareas
52.318,5.026,40x40_lowdensityareas
52.312,5.0385,40x40_lowdensityareas
52.245,4.9254999999999995,40x40_lowdensityareas
52.251,4.913,40x40_lowdensityareas
52.251,4.9254999999999995,40x40_lowdensityareas
52.257,4.9254999999999995,40x40_lowdensityareas
52.257,4.938000000000001,40x40_lowdensityareas
52.257,4.9505,40x40_lowdensityareas
52.257,5.0135,40x40_lowdensityareas
52.2635,4.9254999999999995,40x40_lowdensityareas
52.2635,4.938000000000001,40x40_lowdensityareas
52.2635,4.9505,40x40_lowdensityareas
52.2635,4.9635,40x40_lowdensityareas
52.2635,4.976,40x40_lowdensityareas
52.2635,4.9885,40x40_lowdensityareas
52.2635,5.0135,40x40_lowdensityareas
52.27,4.938000000000001,40x40_lowdensityareas
52.27,4.9505,40x40_lowdensityareas
52.27,4.9885,40x40_lowdensityareas
52.27,5.0009999999999994,40x40_lowdensityareas
52.27,5.0135,40x40_lowdensityareas
52.276,4.938000000000001,40x40_lowdensityareas
52.276,4.9505,40x40_lowdensityareas
52.276,4.9635,40x40_lowdensityareas
52.276,4.9885,40x40_lowdensityareas
52.276,5.0009999999999994,40x40_lowdensityareas
52.276,5.0135,40x40_lowdensityareas
52.282,4.976,40x40_lowdensityareas
52.282,4.9885,40x40_lowdensityareas
52.282,5.0009999999999994,40x40_lowdensityareas
52.282,5.0135,40x40_lowdensityareas
52.288,4.9885,40x40_lowdensityareas
52.288,5.0009999999999994,40x40_lowdensityareas
52.288,5.0135,40x40_lowdensityareas
52.294,5.0135,40x40_lowdensityareas
52.3,5.0135,40x40_lowdensityareas
52.42,4.85,40x40_lowdensityareas
52.426,4.8375,40x40_lowdensityareas
52.426,4.85,40x40_lowdensityareas
52.432,4.8375,40x40_lowdensityareas
52.438,4.8375,40x40_lowdensityareas
52.432,4.85,40x40_lowdensityareas
52.438,4.85,40x40_lowdensityareas
52.444,4.8375,40x40_lowdensityareas
52.444,4.85,40x40_lowdensityareas
52.45,4.8375,40x40_lowdensityareas
52.444,4.825,40x40_lowdensityareas
52.45,4.825,40x40_lowdensityareas
52.456,4.8125,40x40_lowdensityareas
52.456,4.825,40x40_lowdensityareas
52.456,4.8375,40x40_lowdensityareas
52.462,4.825,40x40_lowdensityareas
52.462,4.8375,40x40_lowdensityareas
52.468,4.825,40x40_lowdensityareas
52.468,4.8375,40x40_lowdensityareas
52.468,4.85,40x40_lowdensityareas
52.45,4.8125,40x40_lowdensityareas
52.444,4.8125,40x40_lowdensityareas
